itemNumber,price,freightCost/surcharge,eligibility(Promotion Restriction),category,brand,image,minRetailQty,Instock Qty,Shipping_date,date
G3970274,7.15,0.0,YES,Safety / Personal Protective Equipment (PPE) / Eye Protection / Safety Glasses,Bolle Safety,Z2t3--ncpEx_.JPG,1,0,1,2024-08-26 11:54:23
G2498851,35.49,0.0,YES,"Power Transmission / Bearings, V-belts & Power Transmission Equipment / Power Transmission Belts / V-Belts",Gates,Z_98Hxfo5oy.JPG,1,0,1,2024-08-26 11:54:30
G1153485,40.25,0.0,YES,"Vehicle Maintenance / Automotive Brakes, Steering & Suspension / Automotive Brakes / Brake Parts",Weatherhead,Z-L9Kxfo5oy.JPG,1,0,1,2024-08-26 11:54:35
G7825076,13.99,0.0,YES,"Tools & Machining / Hand Tools / Drywall and Plastering Tools / Putty & Joint Knives, Spatulas, Scrapers",Olfa,Z2rJ0ulcpEx-.JPG,1,0,1,2024-08-26 11:54:39
G0847612,3.35,0.0,YES,Electrical Supplies / Data & Communication / Voice & Data Housings,Panduit,Z2LLy_fo5oy.JPG,1,0,1,2024-08-26 11:54:44
G4034694,196.99,0.0,YES,Electrical Supplies / Wiring Devices / Pin & Sleeve Devices / Hazardous Location Plugs,Appleton Electric,Z_pNrzkcpEx_.JPG,1,0,1,2024-08-26 11:54:50
G0793457,9.99,0.0,NO,Plumbing / Plumbing Repair & Maintenance / Toilet Repair Parts,Oatey,Z16B9yfo5oz.JPG,1,0,1,2024-08-26 11:54:53
G1611395,51.29,0.0,YES,Hardware & Building Materials / Door Hardware & Components / Electromagnetic Locking Systems / Electromagnetic Lock Activation Devices,Bea,Z1t-I_mcpIx_.JPG,1,0,1,2024-08-26 11:54:57
G0606401,28.35,0.0,YES,Electrical Supplies / Wiring Devices / Straight Blade Devices / Straight Blade Plugs,Hubbell,Z2Lzu0fo5oy.JPG,1,0,1,2024-08-26 11:55:05
G4778891,7.59,0.0,YES,"Material Handling / Carts, Trucks, & Dollies / Hand Trucks & Dollies / Hand Trucks",Magliner,Z6yJ-vfo5oy.JPG,1,0,1,2024-08-26 11:55:10
G9349252,30.99,0.0,YES,Storage & Workspace / Slatwalls & Pegboards / Slatwall Accessories / Slatwall Hooks,Flow Wall,Z0t2FypcpEx1.JPG,1,0,1,2024-08-26 11:55:14
G5121566,7.15,0.0,YES,"Storage & Workspace / Storage Bins, Boxes & Totes / Bin & Box Accessories",Akro-Mils,Z1uJswncpEx_.JPG,1,0,1,2024-08-26 11:55:21
